Applicant_Client_ID,Emphasis Area,Emphasis Area 2,Emphasis Area 3,UU_APPL_CITIZEN,CTZNSHP,AGE,SEX,LOW_INCOME,UU_FIRSTGEN,UU_APPL_NTV_LANG,HAS_LANGUAGE_TEST,TEST_READ,TEST_SPEAK,TEST_WRITE,TEST_LISTEN,MAJOR,GPA,NUM_PREV_INSTS,HAS_GRE_GEN,GRE_VERB,GRE_QUANT,GRE_AW,HAS_GRE_SUBJECT,GRE_SUB,NUM_RECOMMENDS,R_AVG_ORAL,R_AVG_WRITTEN,R_AVG_ACADEMIC,R_AVG_KNOWLEDGE,R_AVG_EMOT,R_AVG_MOT,R_AVG_RES,R_AVG_RATING,RATING,DECISION
3554048,Probability,Mathematical Biology,Applied Mathematics,Yes,UNITED STATES,28.7,Male,No,Unspecified,English,No,,,,,Mathematics,3.56,4,Yes,,,,Yes,700,4,12.5,11.3,15,15,20,15,12.5,20,3.67,Reject
3698974,Mathematical Biology,Geometry/Topology,0,Yes,UNITED STATES,42.4,Female,Yes,Y,English,No,,,,,Mathematics,3.33,5,Yes,163,161,3.5,No,,3,20,13.3,16.7,13.3,16.7,16.7,10,20,4.5,Waitlist
3708400,Statistics,0,0,Yes,UNITED STATES,35.8,Male,Unspecified,Unspecified,Hebrew,No,,,,,Mathematics,3,5,Yes,162,167,4,No,,3,20,20,20,16.7,20,16.7,16.7,26.7,3.25,Reject
3755025,Geometry/Topology,Algebraic Geometry,Representation Theory,Yes,UNITED STATES,30.2,Male,Not Sure,Unspecified,English,No,,,,,Pure Mathematics,3.52,3,Yes,161,163,3.5,Yes,750,3,6.7,6.7,6.7,6.7,6.7,6.7,6.7,26.7,4.1,Reject
3781974,Mathematical Biology,0,0,Yes,UNITED STATES,23.9,Female,No,Unspecified,English,No,,,,,Mathematics,3.64,4,Yes,,,,No,,3,20,16.7,20,16.7,20,20,13.3,23.3,3.42,Reject
3782171,Applied Mathematics,Numerical Analysis,Mathematical Biology,Yes,UNITED STATES,22.5,Female,No,Unspecified,English,No,,,,,Mathematics,3.86,2,Yes,166,166,4.5,Yes,580,4,15,17.5,20,20,20,20,17.5,25,2.75,Reject
3782454,Algebraic Geometry,Geometry/Topology,Number Theory,Yes,UNITED STATES,21.1,Male,No,Unspecified,English,No,,,,,Mathematics,3.74,1,Yes,154,166,3,Yes,670,3,16.7,13.3,16.7,16.7,16.7,20,16.7,23.3,3.25,Reject
3789297,Commutative Algebra,Representation Theory,Undecided,Yes,UNITED STATES,28.2,Unspecified,Unspecified,Unspecified,English,No,,,,,Mathematics,3.48,2,No,,,,No,,3,10,20,20,16.7,10,20,16.7,30,4.18,Admit
3789421,Algebraic Geometry,Commutative Algebra,Geometry/Topology,No,KOREA REPUBLIC OF,25.9,Male,No,Unspecified,Korean,Yes,28,23,23,27,Biomath,3.84,2,Yes,157,170,3.5,Yes,900,3,20,20,20,20,20,20,20,30,3.83,Waitlist
3790909,Mathematical Biology,Applied Mathematics,0,No,SWITZERLAND,27.1,Female,Not Sure,Unspecified,Italian,No,,,,,Mathematics,0,2,No,,,,No,,4,12.5,17.5,17.5,17.5,17.5,20,10,21.3,4,Waitlist
